time/ka,W/m^2
-10000,499.864207
-9999,506.266451
-9998,509.600472
-9997,509.084264
-9996,504.618827
-9995,496.611273
-9994,485.451867
-9993,472.9795
-9992,461.245783
-9991,450.175721
-9990,441.31543
-9989,435.295553
-9988,431.765163
-9987,430.756976
-9986,431.753959
-9985,434.594311
-9984,439.042776
-9983,444.877999
-9982,451.938873
-9981,459.942905
-9980,469.006288
-9979,477.420651
-9978,484.971383
-9977,490.980791
-9976,494.235044
-9975,494.346469
-9974,490.935598
-9973,485.272448
-9972,478.056478
-9971,470.332864
-9970,463.051515
-9969,456.946664
-9968,452.5106
-9967,450.177406
-9966,449.569867
-9965,450.534242
-9964,452.814768
-9963,456.356226
-9962,460.513164
-9961,465.32154
-9960,470.483875
-9959,475.764714
-9958,480.850824
-9957,485.367825
-9956,488.911897
-9955,491.091386
-9954,491.637951
-9953,490.31247
-9952,487.227629
-9951,482.556726
-9950,476.48457
-9949,469.971411
-9948,463.287923
-9947,456.871334
-9946,451.097154
-9945,446.499178
-9944,442.724746
-9943,440.337088
-9942,439.040636
-9941,439.039154
-9940,440.241451
-9939,442.489019
-9938,445.610559
-9937,449.805359
-9936,454.826253
-9935,460.276086
-9934,466.574205
-9933,473.265992
-9932,480.124472
-9931,486.854906
-9930,493.121909
-9929,498.463981
-9928,502.665574
-9927,504.917404
-9926,504.914723
-9925,502.684868
-9924,497.821298
-9923,491.033374
-9922,482.942589
-9921,474.303701
-9920,465.409638
-9919,457.834347
-9918,451.530793
-9917,446.750259
-9916,443.931321
-9915,442.79307
-9914,443.157787
-9913,445.275274
-9912,448.457245
-9911,453.431907
-9910,459.673453
-9909,466.311304
-9908,474.512744
-9907,481.768373
-9906,487.925316
-9905,491.286533
-9904,490.798904
-9903,485.546118
-9902,476.823619
-9901,465.149241
-9900,452.806587
-9899,441.554023
-9898,433.153058
-9897,427.664546
-9896,425.390567
-9895,425.968425
-9894,428.963809
-9893,434.021676
-9892,440.831409
-9891,448.680593
-9890,458.288164
-9889,468.431564
-9888,479.337849
-9887,491.190418
-9886,501.903705
-9885,511.637604
-9884,518.778874
-9883,521.622799
-9882,519.566633
-9881,513.11884
-9880,502.480098
-9879,489.707068
-9878,477.166407
-9877,464.89786
-9876,455.048921
-9875,447.463875
-9874,442.507583
-9873,439.640181
-9872,438.796982
-9871,439.638082
-9870,441.707446
-9869,445.302696
-9868,449.542937
-9867,454.615121
-9866,460.743574
-9865,467.063874
-9864,472.989141
-9863,477.795939
-9862,481.154176
-9861,481.958779
-9860,480.18076
-9859,476.05289
-9858,469.829866
-9857,463.133468
-9856,456.034329
-9855,450.265642
-9854,446.246906
-9853,443.592986
-9852,442.949228
-9851,443.990722
-9850,446.612323
-9849,450.393231
-9848,455.212059
-9847,460.801084
-9846,466.670405
-9845,472.778877
-9844,479.197938
-9843,485.034437
-9842,490.300206
-9841,494.694875
-9840,497.918438
-9839,499.912807
-9838,500.178983
-9837,498.807805
-9836,495.873108
-9835,491.636022
-9834,486.134609
-9833,480.092589
-9832,473.387155
-9831,466.922209
-9830,460.455598
-9829,454.806546
-9828,449.664459
-9827,445.707247
-9826,442.666702
-9825,440.817146
-9824,440.197365
-9823,440.678013
-9822,442.296957
-9821,445.164973
-9820,449.117418
-9819,453.708554
-9818,459.295489
-9817,465.38037
-9816,471.625215
-9815,477.703297
-9814,483.241828
-9813,487.455651
